movie,year,rating,genre,runtime_min,imdb,metascore,votes,director(s),stars
Unknown: Cosmic Time Machine,2023,,['Documentary'],64.0,7.2,,1704,Shai Gal,"['Joe Biden', 'Amber Straughn', 'Thomas Zurbuchen', 'Becky Smethurst']"
The Devil and Father Amorth,2017,Not Rated,"['Documentary', 'Horror']",68.0,4.6,46.0,2559,William Friedkin,"['William Friedkin', 'Jeffrey Burton Russell', 'Christina', 'Gabriele Amorth']"
Oppenheimer: The Real Story,2023,,['Documentary'],96.0,7.1,,90,Robin Bextor,
Grey Gardens,1975,PG,"['Documentary', 'Comedy', 'Drama']",95.0,7.6,82.0,14726,"['Ellen Hovde', 'Albert Maysles', 'David Maysles', 'Muffie Meyer']","['Edith Bouvier Beale', ""Edith 'Little Edie' Bouvier Beale"", 'Brooks Hyers']"
Mr. Jimmy,2019,,['Documentary'],113.0,7.6,,22,Peter Michael Dowd,"['Akio Sakurai', 'Rie Nakahara', 'Toshio Suzuki', 'Kiyomi Osawa']"
Grizzly Man,2005,R,"['Documentary', 'Biography']",103.0,7.8,87.0,59722,Werner Herzog,"['Timothy Treadwell', 'Amie Huguenard', 'Werner Herzog', 'Carol Dexter']"
Stephen Curry: Underrated,2023,PG-13,"['Documentary', 'Sport']",110.0,7.3,69.0,2964,Peter Nicks,"['Stephen Curry', 'Bob McKillop', 'Jason Richards', 'Reggie Miller']"
They Shall Not Grow Old,2018,R,"['Documentary', 'History', 'War']",99.0,8.2,91.0,37075,Peter Jackson,"['Thomas Adlam', 'William Argent', 'John Ashby', 'Attwood']"
Skin: A History of Nudity in the Movies,2020,,"['Documentary', 'History']",130.0,6.7,64.0,1071,Danny Wolf,"['Warren Beatty', 'Martine Beswick', 'Linda Blair', 'Peter Bogdanovich']"
Wham!,2023,TV-14,"['Documentary', 'Biography', 'Music']",92.0,7.5,73.0,6756,Chris Smith,"['Bananarama', 'Bono', 'David Bowie', 'Boy George']"
Trap Jazz,2023,TV-MA,"['Documentary', 'Music']",94.0,6.8,,32,Sadé Clacken Joseph,"['Chris Moten', 'Stixx Taylor', 'Cassius Jay', 'Gabriel Turner']"
The Lost Century: And How to Reclaim It,2023,,['Documentary'],,7.9,,412,Michael Mazzola,"['Fred Durst', 'Steven M. Greer']"
Unknown: Cave of Bones,2023,TV-PG,['Documentary'],93.0,6.7,,1581,Mark Mannucci,"['Keneiloe Molopyane', 'Lee Berger', 'Agusin Fuentes', 'John Hawks']"
Black Hawk Down,1997,Not Rated,['Documentary'],57.0,7.9,,28638,Chris Mills,"['Mike Goodale', 'Shawn Nelson', 'Dale Sizemore']"
The Social Dilemma,2020,PG-13,"['Documentary', 'Drama']",94.0,7.6,78.0,86968,Jeff Orlowski-Yang,"['Tristan Harris', 'Jeff Seibert', 'Bailey Richardson', 'Joe Toscano']"
Miss Americana,2020,TV-MA,"['Documentary', 'Biography', 'Drama']",85.0,7.4,65.0,22198,Lana Wilson,"['Taylor Swift', 'Andrea Swift', 'Scott Swift', 'Joel Little']"
Reinventing Elvis: The '68 Comeback,2023,,"['Documentary', 'Music']",110.0,7.8,,189,John Scheinfeld,"['Steve Binder', 'Darius Rucker', 'Maffio']"
